"","Position","Salary"
"1","Accounting",34397
"2","Accounting",30359
"3","Management",50036
"4","Accounting",34716
"5","Accounting",35786
"6","Accounting",34395
"7","Accounting",35867
"8","Accounting",35388
"9","Management",57823
"10","Accounting",32532
"11","Accounting",31218
"12","Accounting",30751
"13","Accounting",30932
"14","Management",60180
"15","Accounting",34450
"16","Accounting",31688
"17","Accounting",31424
"18","Management",52290
"19","Management",44425
"20","Accounting",35959
"21","Accounting",36832
"22","Management",42971
"23","Management",67832
"24","Accounting",34562
"25","Accounting",36772
"26","Accounting",33656
"27","Management",64078
"28","Management",33849
"29","Accounting",33979
"30","Accounting",44994
"31","Accounting",39033
"32","Accounting",35802
"33","Accounting",34075
"34","Accounting",31864
"35","Accounting",35229
"36","Accounting",32714
"37","Accounting",29540
"38","Accounting",33847
"39","Accounting",34635
"40","Accounting",36816
"41","Management",55649
"42","Accounting",32925
"43","Accounting",34965
"44","Accounting",36119
"45","Accounting",34669
"46","Management",35817
"47","Management",50935
"48","Accounting",37409
"49","Management",50584
"50","Accounting",31885
"51","Accounting",31587
"52","Accounting",34193
"53","Management",41903
"54","Accounting",32020
"55","Accounting",33451
"56","Management",55543
"57","Accounting",34550
"58","Accounting",32314
"59","Management",45207
"60","Accounting",32012
"61","Management",31661
"62","Management",50735
"63","Management",48496
"64","Management",70157
"65","Accounting",36805
"66","Accounting",36228
"67","Accounting",32474
"68","Management",57056
"69","Management",44556
"70","Accounting",31823
"71","Management",35749
"72","Accounting",32905
"73","Accounting",35168
"74","Accounting",34326
"75","Accounting",31320
"76","Management",59720
"77","Accounting",33925
"78","Accounting",35009
"79","Accounting",33996
"80","Management",47121
"81","Accounting",34224
"82","Management",46379
"83","Management",39612
"84","Accounting",33259
"85","Accounting",36786
"86","Management",50300
"87","Management",39244
"88","Management",48432
"89","Management",60966
"90","Accounting",32048
"91","Management",42076
"92","Accounting",36818
"93","Accounting",32137
"94","Accounting",32583
"95","Accounting",32177
"96","Accounting",30322
"97","Accounting",34693
"98","Management",51548
"99","Accounting",34327
"100","Accounting",35152
"101","Accounting",39567
"102","Accounting",31192
"103","Accounting",33067
"104","Management",52872
"105","Accounting",31506
"106","Accounting",33010
"107","Accounting",30056
"108","Management",91027
"109","Management",45929
"110","Accounting",35033
"111","Accounting",39182
"112","Accounting",33741
"113","Accounting",34518
"114","Accounting",32124
"115","Management",60356
"116","Management",38939
"117","Accounting",34138
"118","Management",62184
"119","Management",54776
"120","Accounting",36045
"121","Accounting",33876
"122","Management",39044
"123","Accounting",39582
"124","Management",59819
"125","Accounting",34479
"126","Accounting",32830
"127","Accounting",34591
"128","Accounting",34798
"129","Accounting",33302
"130","Accounting",37629
"131","Management",46342
"132","Accounting",32156
"133","Accounting",29459
"134","Accounting",36810
"135","Management",48933
"136","Management",57521
"137","Accounting",31524
"138","Accounting",33557
"139","Management",40360
"140","Management",46770
"141","Accounting",34768
"142","Accounting",34403
"143","Accounting",31234
"144","Accounting",34009
"145","Management",38605
"146","Management",66072
"147","Accounting",33206
"148","Accounting",38012
"149","Accounting",34573
"150","Accounting",32446
"151","Accounting",36120
"152","Accounting",32709
"153","Accounting",32997
"154","Accounting",32246
"155","Accounting",32416
"156","Management",46807
"157","Accounting",37098
"158","Management",71454
"159","Management",37145
"160","Accounting",37552
"161","Management",50855
"162","Accounting",34623
"163","Accounting",34311
"164","Accounting",38541
"165","Accounting",34162
"166","Accounting",35390
"167","Accounting",33395
"168","Accounting",35929
"169","Accounting",32697
"170","Accounting",31142
"171","Accounting",35373
"172","Management",55060
"173","Management",54388
"174","Accounting",31516
"175","Accounting",34346
