name,genre,year_of_release,publisher,sales,critic_score,user_score,developer,rating,platform
Wii Sports,Sports,2006,Nintendo,82.53,76,8,Nintendo,E,Wii
Mario Kart Wii,Racing,2008,Nintendo,35.52,82,8.3,Nintendo,E,Wii
Wii Sports Resort,Sports,2009,Nintendo,32.77,80,8,Nintendo,E,Wii
New Super Mario Bros.,Platform,2006,Nintendo,29.8,89,8.5,Nintendo,E,DS
Wii Play,Misc,2006,Nintendo,28.92,58,6.6,Nintendo,E,Wii
New Super Mario Bros. Wii,Platform,2009,Nintendo,28.32,87,8.4,Nintendo,E,Wii
Mario Kart DS,Racing,2005,Nintendo,23.21,91,8.6,Nintendo,E,DS
Wii Fit,Sports,2007,Nintendo,22.7,80,7.7,Nintendo,E,Wii
Wii Fit Plus,Sports,2009,Nintendo,21.79,80,7.4,Nintendo,E,Wii
Brain Age: Train Your Brain in Minutes a Day,Misc,2005,Nintendo,20.15,77,7.9,Nintendo,E,DS
Brain Age 2: More Training in Minutes a Day,Puzzle,2005,Nintendo,15.29,77,7.1,Nintendo,E,DS
Animal Crossing: Wild World,Simulation,2005,Nintendo,12.13,86,8.7,Nintendo,E,DS
Super Mario Galaxy,Platform,2007,Nintendo,11.35,97,8.9,Nintendo,E,Wii
Super Mario 3D Land,Platform,2011,Nintendo,10.81,90,8.4,Nintendo,E,3DS
Just Dance 3,Misc,2011,Ubisoft,10.12,74,7.8,Ubisoft,E10+,Wii
New Super Mario Bros. 2,Platform,2012,Nintendo,9.9,78,7.2,Nintendo,E,3DS
Just Dance 2,Misc,2010,Ubisoft,9.44,74,7.3,Ubisoft,E10+,Wii
Animal Crossing: New Leaf,Simulation,2012,Nintendo,9.16,88,8.7,Nintendo,E,3DS
FIFA 16,Sports,2015,Electronic Arts,8.57,82,4.3,EA,E,PS4
FIFA Soccer 13,Action,2012,Electronic Arts,8.16,88,6.6,EA,E,PS3
FIFA 17,Sports,2016,Electronic Arts,7.59,85,5,EA,E,PS4
Super Mario Galaxy 2,Platform,2010,Nintendo,7.51,97,9.1,EA,E,Wii
Battlefield 3,Shooter,2011,Electronic Arts,7.32,84,7.4,EA,M,X360
Need for Speed Underground,Racing,2003,Electronic Arts,7.2,85,8.6,EA,E,PS2
Just Dance,Misc,2009,Ubisoft,7.2,49,8,Ubisoft,E10+,Wii
Battlefield 3,Shooter,2011,Electronic Arts,7.17,85,7.5,EA,M,PS3
Tekken 3,Fighting,1998,Sony Computer Entertainment,7.16,96,9.1,Namco,T,PS
The Legend of Zelda: Twilight Princess,Action,2006,Nintendo,7.15,95,9,Nintendo,T,Wii
Mario Kart 8,Racing,2014,Nintendo,7.09,88,9.1,Nintendo,E,WiiU
Need for Speed Underground 2,Racing,2004,Electronic Arts,6.9,82,8.6,EA,E,PS2
Medal of Honor: Frontline,Shooter,2002,Electronic Arts,6.83,88,8.5,EA,T,PS2
Just Dance 4,Misc,2012,Ubisoft,6.76,74,7.3,Ubisoft,E10+,Wii
Big Brain Academy,Misc,2005,Nintendo,6.62,74,7.4,Nintendo,E,DS
FIFA 14,Sports,2013,Electronic Arts,6.47,86,4.3,EA,E,PS3
Assassin's Creed III,Action,2012,Ubisoft,6.45,85,6.9,Ubisoft,M,PS3
Super Mario Sunshine,Platform,2002,Nintendo,6.31,92,8.6,Nintendo,E,GC
FIFA 15,Sports,2014,Electronic Arts,6.08,82,5.7,EA,E,PS4
Resident Evil 2,Action,1998,Other,5.82,89,9.2,Capcom,M,PS
Tekken 2,Fighting,1996,Sony Computer Entertainment,5.74,89,8.9,Namco,T,PS
LEGO Star Wars: The Complete Saga,Action,2007,Other,5.64,80,8.9,Traveller's Tales,E10+,Wii
Assassin's Creed II,Action,2009,Ubisoft,5.55,91,8.6,Ubisoft,M,PS3
Assassin's Creed,Adventure,2007,Ubisoft,5.54,81,7.7,Ubisoft,M,X360
Super Mario Advance,Platform,2001,Nintendo,5.49,84,7.8,Nintendo,E,GBA
Monster Hunter Freedom Unite,Role-Playing,2008,Capcom,5.48,81,8.7,Capcom,T,PSP
Crash Bandicoot: The Wrath of Cortex,Platform,2001,Other,5.42,66,7.1,Traveller's Tales,E,PS2
Assassin's Creed III,Action,2012,Ubisoft,5.29,84,6.7,Ubisoft,M,X360
Assassin's Creed II,Action,2009,Ubisoft,5.26,90,8.8,Ubisoft,M,X360
New Super Mario Bros. U,Platform,2012,Nintendo,5.22,84,8.1,Nintendo,E,WiiU
FIFA Soccer 13,Action,2012,Electronic Arts,5.16,90,6.1,EA,E,X360
Medal of Honor: Rising Sun,Shooter,2003,Electronic Arts,5.13,68,7.6,EA,T,PS2
Resident Evil 5,Action,2009,Capcom,5.09,84,7.5,Capcom,M,PS3
The Legend of Zelda: Phantom Hourglass,Action,2007,Nintendo,5.08,90,8,Nintendo,E,DS
FIFA Soccer 11,Sports,2010,Electronic Arts,5.07,89,8,EA,E,PS3
Resident Evil,Action,1996,Other,5.05,91,9,Capcom,M,PS
Tony Hawk's Pro Skater,Sports,1999,Activision,5.02,92,9.2,Neversoft Entertainment,T,PS
Link's Crossbow Training,Shooter,2007,Nintendo,4.98,68,7.1,Nintendo,T,Wii
Madden NFL 06,Sports,2005,Electronic Arts,4.91,88,8,EA,E,PS2
Assassin's Creed,Adventure,2007,Ubisoft,4.82,81,7.3,Ubisoft,M,PS3
Tony Hawk's Pro Skater 2,Sports,2000,Activision,4.68,98,7.7,Neversoft Entertainment,T,PS
Animal Crossing: City Folk,Simulation,2008,Nintendo,4.62,73,7.6,Nintendo,E,Wii
The Legend of Zelda: The Wind Waker,Action,2002,Nintendo,4.6,96,8.9,Nintendo,E,GC
Guitar Hero III: Legends of Rock,Misc,2007,Activision,4.6,86,8.4,Vicarious Visions,T,Wii
Madden NFL 2005,Sports,2004,Electronic Arts,4.53,91,7.9,EA,E,PS2
Guitar Hero III: Legends of Rock,Misc,2007,Activision,4.53,85,7.9,Neversoft Entertainment,T,X360
Madden NFL 07,Sports,2006,Electronic Arts,4.49,84,8.2,EA,E,PS2
Splatoon,Shooter,2015,Nintendo,4.43,81,8.5,Nintendo,E10+,WiiU
Nintendo Land,Misc,2012,Nintendo,4.42,77,7.9,Nintendo,E10+,WiiU
Tony Hawk's Pro Skater 3,Sports,2001,Activision,4.41,97,7.5,Neversoft Entertainment,T,PS2
Winning Eleven: Pro Evolution Soccer 2007,Sports,2006,Konami Digital Entertainment,4.39,86,8.9,Konami,E,PS2
Need for Speed: Most Wanted,Racing,2005,Electronic Arts,4.37,82,9.1,EA,T,PS2
Michael Jackson: The Experience,Misc,2010,Ubisoft,4.36,56,8.3,Ubisoft,E10+,Wii
Super Mario 3D World,Platform,2013,Nintendo,4.32,93,9,Nintendo,E,WiiU
Assassin's Creed: Revelations,Action,2011,Ubisoft,4.22,80,7.5,Ubisoft,M,PS3
FIFA 14,Sports,2013,Electronic Arts,4.22,84,4.2,EA,E,X360
FIFA Soccer 06,Sports,2005,Electronic Arts,4.21,80,7.8,EA,E,PS2
Assassin's Creed: Revelations,Action,2011,Ubisoft,4.19,80,7.2,Ubisoft,M,X360
Street Fighter IV,Fighting,2009,Capcom,4.16,94,7.3,Capcom,T,PS3
Madden NFL 2003,Sports,2002,Electronic Arts,4.14,95,7.7,EA,E,PS2
Battlefield 1,Shooter,2016,Electronic Arts,4.08,88,8.4,EA,M,PS4
Watch Dogs,Action,2014,Ubisoft,4.05,80,6.3,Ubisoft,M,PS4
Tekken Tag Tournament,Fighting,2000,Other,4.05,85,8.5,Namco,T,PS2
Far Cry 4,Shooter,2014,Ubisoft,4.04,85,7.7,Ubisoft,M,PS4
Assassin's Creed: Unity,Action,2014,Ubisoft,3.96,70,4.9,Ubisoft,M,PS4
The Legend of Zelda: Skyward Sword,Action,2011,Nintendo,3.95,93,8,Nintendo,E10+,Wii
EA Sports Active,Sports,2009,Electronic Arts,3.9,81,8.7,EA,E,Wii
Tony Hawk's Underground,Sports,2003,Activision,3.9,90,8.7,Neversoft Entertainment,T,PS2
Monster Hunter 4 Ultimate,Role-Playing,2014,Nintendo,3.89,86,8.7,Capcom,T,3DS
NBA 2K16,Sports,2015,Take-Two Interactive,3.88,87,6.7,Visual Concepts,E10+,PS4
Tekken 5,Fighting,2005,Other,3.87,88,8.6,Namco,T,PS2
Sports Champions,Sports,2010,Sony Computer Entertainment,3.84,76,7.9,EA,E10+,PS3
Big Brain Academy: Wii Degree,Misc,2007,Nintendo,3.79,68,6.9,Nintendo,E,Wii
