Year    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC     WIN    SPR    SUM    AUT     ANN
1910    4.1    5.1    7.9    7.7   12.7   16.0   15.6   16.0   14.2   11.4    4.3    6.6     ---   9.48  15.86   9.98   10.18
1911    5.7    5.9    6.1    9.0   14.7   16.0   17.9   18.0   14.2   10.0    6.2    6.5    6.08   9.93  17.32  10.15   10.88
1912    4.3    5.4    7.5   10.9   12.6   14.1   16.4   13.5   12.5    9.8    6.7    6.4    5.39  10.36  14.70   9.68   10.04
1913    4.4    5.8    6.3    9.2   12.1   15.2   16.4   16.6   14.4   11.6    8.7    5.7    5.56   9.19  16.08  11.55   10.56
1914    4.8    7.1    6.3   11.8   11.9   16.0   16.9   17.1   14.5   11.4    7.5    4.3    5.85   9.97  16.65  11.15   10.81
1915    4.2    4.6    6.4    9.5   12.3   16.1   15.8   16.2   14.5   10.7    4.6    4.1    4.34   9.39  16.02   9.95    9.94
1916    7.8    4.1    3.7    9.3   12.0   13.1   16.1   16.9   13.9   10.5    8.0    4.3    5.36   8.33  15.43  10.80   10.01
1917    2.5    3.9    4.7    6.7   12.8   15.4   17.7   16.7   14.3    8.0    8.4    4.3    3.57   8.07  16.63  10.24    9.66
1918    4.0    6.9    6.9    9.0   13.9   14.9   16.3   16.1   11.6   10.1    7.0    6.2    4.99   9.98  15.78   9.56   10.27
1919    4.1    2.9    4.2    8.5   15.1   14.5   16.1   15.7   13.6    9.8    3.7    5.0    4.44   9.29  15.44   9.06    9.48
1920    5.0    6.9    7.3    8.4   12.4   15.9   14.8   14.8   13.8   12.0    8.8    5.2    5.60   9.37  15.17  11.56   10.45
1921    6.8    6.5    7.2   10.7   12.7   15.8   17.7   15.0   14.3   13.0    6.4    7.7    6.16  10.19  16.19  11.27   11.18
1922    4.1    5.1    6.6    7.5   12.7   14.2   14.3   14.4   13.2   10.2    7.7    6.2    5.65   8.94  14.31  10.36    9.71
1923    7.1    5.0    8.3    8.2    9.8   13.4   16.8   15.1   12.8    9.9    4.7    4.7    6.14   8.77  15.12   9.10    9.68
1924    5.4    5.1    5.5    8.6   11.0   14.1   15.8   14.9   13.4   10.7    8.3    7.8    5.07   8.34  14.93  10.83   10.06
1925    6.1    4.8    6.1    8.7   12.0   16.3   17.7   16.3   12.2   10.9    5.6    3.5    6.28   8.91  16.79   9.59   10.06
1926    5.7    6.4    7.4   10.7   11.6   15.0   17.9   17.0   14.5    8.4    6.5    5.9    5.16   9.87  16.65   9.76   10.60
1927    5.3    6.1    8.1    8.4   11.3   12.8   17.2   16.7   12.8   11.1    6.8    2.7    5.76   9.27  15.58  10.23    9.96
1928    5.8    6.5    6.1    9.4   12.5   13.0   15.0   15.8   13.6   10.7    8.1    4.9    4.96   9.32  14.62  10.79   10.12
1929    3.0    2.8    9.9    8.3   13.2   14.4   16.5   15.2   15.0    9.7    7.2    5.9    3.60  10.49  15.35  10.63   10.13
1930    5.3    3.6    5.5    9.4   12.2   16.6   16.0   16.0   13.9   10.4    6.3    5.5    4.97   9.05  16.20  10.24   10.12
1931    4.4    4.5    5.2    8.9   12.6   13.7   15.7   15.7   13.3   10.5    8.6    7.1    4.82   8.91  15.01  10.76   10.04
1932    7.9    6.4    6.7    8.0   11.6   16.0   16.4   16.8   13.3    9.2    7.3    6.6    7.17   8.77  16.40   9.91   10.52
1933    4.2    5.0    9.0   10.2   12.9   17.7   18.7   17.6   16.2   10.8    6.9    4.9    5.25  10.68  17.98  11.30   11.19
1934    6.5    7.2    6.2    8.2   12.2   16.2   18.8   16.0   15.2   10.5    7.1    7.5    6.16   8.87  16.99  10.92   10.98
1935    6.0    5.8    8.1    8.9   12.8   15.1   17.6   17.3   13.7    9.7    7.1    3.4    6.46   9.96  16.68  10.16   10.50
1936    3.5    4.0    7.4    8.5   13.3   16.7   16.6   17.1   15.0   11.0    6.9    6.3    3.62   9.76  16.77  10.99   10.54
1937    5.8    4.5    4.0   10.0   14.0   15.0   16.5   17.2   14.0   11.0    7.2    3.7    5.57   9.32  16.24  10.72   10.27
1938    6.1    6.2    9.9   10.2   12.0   14.3   15.8   17.3   14.8   11.0    8.7    5.4    5.30  10.70  15.81  11.48   11.00
1939    4.0    6.8    7.3    9.5   13.3   16.5   15.7   17.4   15.3    9.8    8.3    4.9    5.35  10.07  16.54  11.12   10.75
1940    1.7    3.9    6.8    9.2   14.8   18.8   15.5   16.0   13.1   10.5    7.4    5.3    3.49  10.26  16.73  10.32   10.25
1941    1.4    3.7    5.7    7.5   11.7   16.1   17.1   15.5   15.9   11.2    7.7    6.9    3.46   8.31  16.25  11.61   10.08
