"","city","gender"
"1","Belfast","F"
"2","Burnley","F"
"3","Aberdeen","F"
"4","Brighton","M"
"5","Burnley","F"
"6","Leeds","M"
"7","Wakefield","F"
"8","Blackpool","F"
"9","Plymouth","U"
"10","Plymouth","U"
"11","Doncaster","F"
"12","Southampton","U"
"13","Wakefield","F"
"14","Bradford","F"
"15","Hull","F"
"16","Preston","F"
"17","Newport","U"
"18","Sunderland","F"
"19","Crawley","U"
"20","Norwich","F"
"21","Brighton","F"
"22","Newport","F"
"23","Cambridge","F"
"24","Southampton","U"
"25","National Average","U"
"26","Aldershot","F"
"27","Huddersfield","F"
"28","Coventry","F"
"29","Norwich","F"
"30","Wakefield","F"
"31","Swindon","F"
"32","Leicester","U"
"33","Birkenhead","F"
"34","Nottingham","F"
"35","Slough","F"
"36","Plymouth","F"
"37","Middlesbrough","F"
"38","Newport","F"
"39","Leicester","F"
"40","Reading","F"
"41","Wakefield","U"
"42","Aberdeen","F"
"43","Ipswich","F"
"44","Bournemouth","U"
"45","Telford","F"
"46","Reading","F"
"47","Swansea","U"
"48","Edinburgh","U"
"49","Aberdeen","F"
"50","Southampton","F"
"51","Swansea","U"
"52","Milton Keynes","F"
"53","Hull","U"
"54","Mansfield","F"
"55","Newport","F"
"56","Bournemouth","M"
"57","Derby","U"
"58","Aldershot","U"
"59","Telford","F"
"60","Barnsley","M"
"61","Norwich","U"
"62","Birkenhead","F"
"63","Chatham","M"
"64","Chatham","F"
"65","Oxford","U"
"66","Exeter","F"
"67","Swindon","F"
"68","Chatham","F"
"69","Stoke","U"
"70","Stoke","F"
"71","Southampton","U"
"72","Cambridge","U"
"73","Hull","F"
"74","Newport","U"
"75","London","U"
"76","Leeds","F"
"77","Mansfield","M"
"78","Southampton","F"
"79","Cambridge","F"
"80","Glasgow","F"
"81","Slough","M"
"82","Brighton","F"
"83","Ipswich","U"
"84","Gloucester","F"
"85","Swindon","U"
"86","Milton Keynes","U"
"87","Aberdeen","F"
"88","Portsmouth","U"
"89","Plymouth","M"
"90","Liverpool","F"
"91","Sunderland","F"
"92","London","F"
"93","London","F"
"94","Liverpool","M"
"95","Northampton","F"
"96","Doncaster","F"
"97","Nottingham","U"
"98","Bristol","F"
"99","Aberdeen","U"
"100","Hull","F"
"101","Leeds","F"
"102","","F"
"103","Burnley","F"
"104","Plymouth","F"
"105","Telford","M"
"106","Sheffield","F"
"107","Basildon","F"
"108","Edinburgh","F"
"109","Coventry","F"
"110","Doncaster","U"
"111","","M"
"112","Preston","U"
"113","Hull","F"
"114","Bournemouth","U"
"115","Aberdeen","M"
"116","Nottingham","U"
"117","National Average","U"
"118","Glasgow","F"
"119","Ipswich","F"
"120","Northampton","M"
"121","Birmingham","U"
"122","Reading","F"
"123","National Average","F"
"124","London","F"
"125","Leicester","F"
"126","Portsmouth","F"
"127","Crawley","F"
"128","Aberdeen","U"
"129","Cardiff","U"
"130","Mansfield","F"
"131","Swansea","U"
"132","Stoke","U"
"133","Gloucester","F"
"134","Cardiff","F"
"135","Telford","F"
"136","Norwich","F"
"137","Crawley","F"
"138","Cardiff","U"
"139","Cardiff","F"
"140","Northampton","F"
"141","Newport","U"
"142","Edinburgh","U"
"143","Stoke","F"
"144","Mansfield","F"
"145","Mansfield","F"
"146","Barnsley","U"
"147","Southend","F"
"148","Bournemouth","F"
"149","National Average","M"
"150","Stoke","F"
"151","Portsmouth","U"
"152","Portsmouth","F"
"153","Milton Keynes","F"
"154","Sunderland","U"
"155","Birkenhead","F"
"156","Peterborough","F"
"157","Blackpool","F"
"158","Mansfield","F"
"159","Sunderland","F"
"160","Crawley","F"
"161","Preston","F"
"162","Coventry","F"
"163","Newport","F"
"164","Leicester","F"
"165","Sheffield","F"
"166","Peterborough","F"
"167","Leicester","F"
"168","Coventry","F"
"169","Northampton","F"
"170","Swansea","F"
"171","Bradford","F"
"172","Leicester","F"
"173","Chatham","F"
"174","Norwich","M"
"175","Oxford","F"
"176","Stoke","U"
"177","Derby","F"
"178","Middlesbrough","F"
"179","Huddersfield","U"
"180","Brighton","F"
"181","Cardiff","F"
"182","Gloucester","F"
"183","Swindon","F"
"184","Huddersfield","F"
"185","Blackburn","F"
"186","Ipswich","F"
"187","Southampton","U"
"188","Milton Keynes","F"
"189","Crawley","U"
"190","Chatham","F"
"191","Blackpool","U"
"192","Leeds","F"
"193","Derby","U"
"194","Bournemouth","F"
"195","Sheffield","F"
"196","Leeds","F"
"197","Leeds","U"
"198","Coventry","F"
"199","Blackburn","F"
"200","Southampton","F"
"201","Bradford","M"
"202","Plymouth","U"
"203","Manchester","F"
"204","Leicester","F"
"205","Blackburn","F"
"206","Norwich","F"
"207","Bradford","F"
"208","National Average","F"
"209","Leicester","U"
"210","Brighton","F"
"211","Aberdeen","F"
"212","Leicester","F"
"213","Cambridge","F"
"214","Basildon","F"
"215","Hull","U"
"216","Worthing","U"
"217","Sheffield","F"
"218","Derby","F"
"219","Coventry","F"
"220","Nottingham","F"
"221","Swindon","M"
"222","Peterborough","F"
"223","Belfast","F"
"224","Portsmouth","F"
"225","Oxford","U"
"226","Slough","U"
"227","Southend","F"
"228","Reading","F"
"229","Telford","U"
"230","Sunderland","U"
"231","Leeds","F"
"232","Exeter","F"
"233","Coventry","F"
"234","London","F"
"235","Sunderland","F"
"236","Burnley","U"
"237","Stoke","U"
"238","Chatham","F"
"239","Portsmouth","F"
"240","Southend","F"
"241","Burnley","M"
"242","Bournemouth","F"
"243","Preston","F"
"244","Leeds","U"
"245","Burnley","U"
"246","Aldershot","F"
"247","Mansfield","F"
"248","Newport","U"
"249","Blackpool","U"
"250","Wakefield","F"
"251","Peterborough","F"
"252","","F"
"253","Milton Keynes","F"
"254","Edinburgh","F"
"255","Ipswich","F"
"256","Barnsley","F"
"257","Southend","F"
"258","Swansea","F"
"259","Newcastle","F"
"260","Portsmouth","F"
"261","Belfast","U"
"262","Dundee","F"
"263","Northampton","F"
"264","Leicester","F"
"265","Slough","M"
"266","Brighton","U"
"267","Belfast","U"
"268","Exeter","U"
"269","Leeds","F"
"270","Mansfield","F"
"271","Northampton","F"
"272","Manchester","F"
"273","Crawley","F"
"274","Bristol","M"
"275","Blackpool","U"
"276","Milton Keynes","F"
"277","Huddersfield","F"
"278","Brighton","F"
"279","Wakefield","U"
"280","Birmingham","F"
"281","Southend","U"
"282","Leeds","U"
"283","Telford","F"
"284","Milton Keynes","F"
"285","Sheffield","F"
"286","Southampton","F"
"287","Sheffield","F"
"288","Brighton","M"
"289","Norwich","F"
"290","Sunderland","F"
"291","Stoke","F"
"292","Bournemouth","F"
"293","Doncaster","F"
"294","Middlesbrough","F"
"295","Norwich","F"
"296","Newport","F"
"297","Stoke","F"
"298","Mansfield","F"
"299","Wakefield","F"
"300","Bradford","U"
"301","Oxford","F"
"302","Edinburgh","F"
"303","Blackpool","F"
"304","Telford","F"
"305","Birmingham","F"
"306","Telford","M"
"307","Derby","F"
"308","Leeds","F"
"309","Basildon","F"
"310","Preston","F"
"311","Peterborough","F"
"312","Belfast","U"
"313","Southend","F"
"314","Bradford","F"
"315","Derby","F"
"316","Hull","M"
"317","Mansfield","F"
"318","Aldershot","M"
"319","Telford","F"
"320","Huddersfield","U"
"321","Telford","U"
"322","Birmingham","F"
"323","Sunderland","F"
"324","Southampton","F"
"325","Sunderland","U"
"326","Sunderland","M"
"327","Swansea","F"
"328","Telford","M"
"329","Cambridge","F"
"330","Birkenhead","F"
"331","Leicester","U"
"332","Aldershot","U"
"333","Newcastle","U"
"334","Plymouth","M"
"335","Newport","U"
"336","Peterborough","F"
"337","Derby","F"
"338","Sheffield","F"
"339","Milton Keynes","F"
"340","Northampton","U"
"341","Wakefield","F"
"342","Telford","U"
"343","Blackpool","U"
"344","Peterborough","F"
"345","Portsmouth","F"
"346","National Average","F"
"347","London","F"
"348","Cardiff","U"
"349","Birkenhead","U"
"350","Birmingham","F"
"351","Slough","F"
"352","Telford","F"
"353","National Average","F"
"354","Aberdeen","F"
"355","Doncaster","F"
"356","Birmingham","F"
"357","Liverpool","U"
"358","Leeds","F"
"359","Doncaster","F"
"360","Leicester","F"
"361","Swindon","F"
"362","Oxford","F"
"363","Swindon","F"
"364","Sheffield","F"
"365","Mansfield","U"
"366","Liverpool","F"
"367","Oxford","F"
"368","Norwich","F"
"369","Peterborough","F"
"370","Chatham","F"
"371","Belfast","F"
"372","Derby","F"
"373","Blackburn","U"
"374","Dundee","F"
"375","Cambridge","F"
"376","Liverpool","U"
"377","Ipswich","F"
"378","Bristol","F"
"379","Swindon","M"
"380","Wakefield","U"
"381","Swansea","F"
"382","Hull","U"
"383","Oxford","F"
"384","Burnley","F"
"385","Aberdeen","M"
"386","Manchester","F"
"387","Mansfield","F"
"388","Newport","U"
"389","Reading","F"
"390","Doncaster","F"
"391","Leicester","F"
"392","Bournemouth","U"
"393","Blackpool","U"
"394","Hull","F"
"395","Newport","F"
"396","Derby","F"
"397","Crawley","U"
"398","Birkenhead","M"
"399","Newport","U"
"400","","F"
"401","Gloucester","F"
"402","Cardiff","F"
"403","Glasgow","U"
"404","Aldershot","F"
"405","Dundee","F"
"406","London","F"
"407","Huddersfield","F"
"408","Southend","U"
"409","Reading","M"
"410","Chatham","U"
"411","Portsmouth","F"
"412","Gloucester","F"
"413","Gloucester","F"
"414","Stoke","F"
"415","Swansea","U"
"416","Manchester","F"
"417","Brighton","U"
"418","Belfast","F"
"419","Sheffield","U"
"420","Southend","U"
"421","Dundee","U"
"422","Doncaster","F"
"423","Liverpool","U"
"424","Chatham","U"
"425","Manchester","F"
"426","Blackburn","F"
