customerID,monthly_charges,total_charges,payment_method,churn
7590,29.85,118.9,electronic check,yes
5575,56.78,na,mailed check,yes
3668,,108.15,--,yes
7795,42.3,1840.75,bank transfer,no
9237,75.7,NA,electronic check,no
9305,Nan,830.5,--,yes
1452,89.1,1949.5,credit card,no
6713,,,,yes
7892,104.8,3046.05,electronic check,no
8451,56.2,456.95,electronic check,no
6790,,119.9,electronic check,yes
6672,NA,na,mailed check,yes
6553,Nan,3573.35,--,yes
6435,,5305.95,bank transfer,no
6317,53.8,NA,electronic check,no
6198,23.5,1675.585,--,yes
6080,68.9,1710.53,credit card,no
5962,,1745.475,,yes
5843,76.5,1780.42,electronic check,no
5725,,1815.365,electronic check,no
5607,45.6,120.9,electronic check,yes
5488,Nan,na,mailed check,yes
5370,23.6,7038.55,--,yes
5252,15.5,119.9,bank transfer,no
5133,105.6,na,electronic check,no
5015,,3573.35,--,yes
4896,Nan,5305.95,credit card,no
4778,,N/A,,yes
4660,34.7,661.347093,electronic check,no
4541,12.5,479.2197674,electronic check,no
4423,,297.0924419,electronic check,yes
4305,45.6,114.9651163,mailed check,yes
4186,35.6,-67.1622093,--,yes
4068,,-249.2895349,bank transfer,no
3950,,na,electronic check,no
