Country,Region,Gender,Ageyears,Handed,Height,Foot_Length,Arm_Span,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_enery,Importance_owning_computer,Importance_Internet_access,
"UK","Home Counties","M","12","R","165","26","160","2","Car","15","0","52","Rugby Union","254","779","1000","642","190","341",
"UK","North East","F","11","R","163","25","169","2","Walk","15","0.32","39","Netball","837","559","879","758","808","1000",
"UK","Home Counties","F","13","R","144","17","160","3","Car","15","0.29","40","Tennis","410","671","531","581","925","1000",
"UK","South West","F","12","R","165","22","165","1","Car","5","0.37","33","Swimming","503","787","742","919","749","851",
"UK","Northern Ireland","F","11","R","126","25","210","1","Bus","25","0.42","47","Other activities/sports","1000","1000","1000","998","576","970",
"UK","Home Counties","F","14","R","177","24","153","1","Car","25","0.41","33","Other activities/sports","698","448","472","442","1000","1000",
"UK","West Midlands","F","12","R","159","24","165","2","Walk","20","0.62","39","Swimming","0","0","0","0","1000","1000",
"UK","West Midlands","F","13","R","164","25","160","1","Bus","45","0.59","53","Swimming","306","286","275","248","1000","1000",
"UK","Northern Ireland","M","12","R","146","23","148","3","Car","15","0.31","52","Football/Soccer","1000","998","1000","1000","642","633",
"UK","North West","M","13","R","187","23","124","3","Car","10","0.15","63","Football/Soccer","500","500","500","500","500","500",
"UK","North West","F","14","R","152","23","150","2","Bus","30","0.34","42","Swimming","407","595","557","852","841","973",
"UK","Home Counties","M","14","R","179","27","186","1","Boat","20","0.39","43","Athletics","1000","711","917","776","1000","1000",
"UK","Home Counties","F","15","R","170","24","172","2","Car","10","0.39","44","Other activities/sports","548","903","871","774","1000","1000",
"UK","West Midlands","F","14","R","160","24","165","2","Bus","30","0.35","29","Tennis","500","500","500","500","986","1000",
"UK","North West","F","14","R","165","21","163","1","Car","8","0.32","56","Netball","685","590","595","410","595","612",
"UK","West Midlands","F","14","R","156","22","160","1","Bus","20","0.43","53","Swimming","613","492","617","622","282","557",
"UK","South","F","13","R","157","23","157","1","Cycle","15","0.6","38","Swimming","1000","1000","595","499","888","1000",
"UK","North West","M","14","L","160","25","160","2","Walk","40","0.36","40","Basketball","1000","1000","897","1000","313","311",
"UK","North West","F","13","R","165","24","168","1","Walk","10","0.71","59","Dancing","282","289","295","309","902","911",
"UK","East","F","12","R","157","24","158","2","Bus","70","0.34","37","Athletics","690","456","313","563","800","941",
"UK","North West","M","14","R","181","26","188","1","Walk","10","0.31","44","Basketball","258","127","161","0","0","0",
"UK","South West","F","12","L","151","21","152","2","Walk","20","0.4","43","Skateboarding/Rollerblading","593","678","602","662","629","640",
"UK","Channel Islands","M","13","L","172","27","175","1","Bus","25","0.68","88","Athletics","1000","885","1000","816","0","0",
"UK","North West","F","14","R","158","26","120","1","Car","5","0.35","49","Dancing","304","92","349","600","636","640",
"UK","East","F","10","R","134","20","125","1","Walk","15","0.43","30","Table Tennis","903","258","548","581","1000","1000",
"UK","North West","F","14","R","165","24","153","1","Bus","15","0.46","41","Dancing","669","700","716","716","69","134",
"UK","Home Counties","M","12","R","148","23","147","2","Other","35","0.26","62","Other activities/sports","562","446","447","446","564","556",
"UK","West Midlands","M","13","R","150","25","150","1","Walk","20","0.42","70","Baseball/Softball","590","545","560","543","500","500",
"UK","Home Counties","F","11","R","150","20","152","1","Car","15","0","42","Athletics","0","1000","1000","1000","1000","1000",
"UK","United States","M","14","B","175","25","147","2","Car","2","0.31","37","Other activities/sports","776","297","770","743","1000","1000",
"UK","East","F","13","R","172","25","172","1","Bus","70","0.35","36","Swimming","0","0","0","0","1000","1000",
"UK","East Midlands","F","14","R","164","25","164","1","Car","14","0.32","30","Baseball/Softball","958","883","783","939","1000","1000",
"UK","Home Counties","M","13","R","168","12","151","2","Bus","15","0.36","42","Swimming","861","550","565","419","482","536",
"UK","North East","F","11","R","164","23","160","2","Walk","20","0.56","47","Netball","313","477","610","820","1000","1000",
"UK","North West","F","16","R","168","24","167","1","Other","23","0.35","29","Dancing","1000","622","306","242","1000","1000",
"UK","Home Counties","F","13","R","158","24","161","1","Bus","20","0.28","38","Tennis","283","744","707","991","109","351",
"UK","East Midlands","F","14","R","165","27","165","2","Car","15","0.42","66","Dancing","395","588","614","407","1000","1000",
"UK","South","F","11","R","150","25","130","1","Bus","40","0.42","52","Dancing","893","1000","1000","1000","179","301",
"UK","West Midlands","M","14","R","171","26","168","1","Bus","32","0.34","53","Football/Soccer","826","915","716","763","913","1000",
"UK","Home Counties","M","14","R","169","25","170","3","Bus","30","0.36","29","Other activities/sports","804","996","573","917","763","640",
"UK","South","F","12","R","154","23","144","2","Walk","45","0.34","201","Netball","743","806","718","606","535","562",
"UK","South East","M","15","L","173","25","166","2","Rail","45","0.26","39","Baseball/Softball","264","1000","805","723","735","740",
"UK","West Midlands","F","12","R","173","26","172","3","Car","15","1.1","81","Swimming","834","868","848","834","568","557",
"UK","Home Counties","M","14","L","173","28","176","1","Bus","20","0.28","36","Football/Soccer","1000","841","1000","1000","375","434",
"UK","North West","M","13","R","161","25","158","1","Bus","35","0.57","40","Other activities/sports","194","355","774","0","450","224",
"UK","North West","F","14","L","153","20","143","1","Bus","10","0.25","33","None","500","774","1000","1000","935","1000",
"UK","North East","F","12","R","160","26","158","1","Bus","20","0.32","33","Gymnastics","1000","1000","1000","1000","94","96",
"UK","South East","F","14","R","166","26","179","1","Bus","15","0","54","Football/Soccer","306","718","207","108","786","814",
"UK","South West","M","11","R","150","25","145","1","Bus","20","0.39","38","Football/Soccer","1000","1000","1000","500","290","65",
"UK","North West","M","14","R","172","26","171","2","Cycle","3","0.46","33","Football/Soccer","687","819","623","617","1000","1000",
"UK","South","F","11","R","147","23","147","3","Car","10","0","45","Swimming","0","0","0","0","1000","1000",
"UK","North West","F","13","R","162","23","156","2","Bus","25","0.45","45","Tennis","824","815","830","537","728","812",
"UK","South","M","16","R","159","24","153","1","Bus","25","0.31","25","Football/Soccer","697","666","569","579","397","398",
"UK","South","F","12","R","170","23","171","3","Bus","20","0.34","40","Athletics","597","920","743","661","283","642",
"UK","South","M","16","R","177","26","177","2","Walk","45","0.48","27","Football/Soccer","966","1000","500","500","500","500",
"UK","South West","M","15","R","180","31","175","1","Walk","60","0","67","Martial Arts","1000","1000","1000","1000","1000","1000",
"UK","North West","F","14","R","169","23","147","2","Walk","10","0","48","Football/Soccer","490","605","784","614","580","635",
"UK","South West","F","13","R","166","25","168","2","Bus","30","0.48","49","Hockey (Field)","0","0","0","0","1000","1000",
"UK","East","M","14","R","179","26","172","1","Car","2","1.26","77","Athletics","398","537","300","324","635","564",
"UK","Home Counties","M","13","R","178","25","178","1","Walk","15","0.31","29","Skateboarding/Rollerblading","352","553","259","671","1000","1000",
"UK","West Midlands","M","14","R","172","20","165","1","Cycle","15","0.32","59","Football/Soccer","641","500","1000","959","12","20",
"UK","East Midlands","F","12","R","156","24","154","1","Walk","5","0","54","Dancing","758","602","611","385","150","123",
"UK","North East","M","11","R","161","23","155","3","Walk","20","0.34","43","None","669","432","284","356","1000","1000",
"UK","South","M","14","R","141","16","141","2","Car","25","0.58","45","Martial Arts","799","611","629","541","139","168",
"UK","Home Counties","M","13","R","174","35","100","2","Bus","15","0.37","61","Football/Soccer","1000","1000","1000","1000","1000","1000",
"UK","East","F","12","R","164","24","164","3","Rail","40","0.34","27","Tennis","765","743","543","423","635","637",
"UK","East","M","11","R","150","25","140","1","Bus","55","1.71","58","Swimming","704","752","490","302","660","340",
"UK","Home Counties","F","12","R","160","22","158","1","Car","5","0.31","35","Dancing","803","736","732","823","374","380",
"UK","North West","M","13","R","148","24","148","1","Walk","20","0.34","40","Football/Soccer","700","242","1000","500","1000","1000",
"UK","London","M","13","R","167","29","180","3","Walk","20","0.36","57","Football/Soccer","644","915","734","852","662","783",
"UK","North West","M","13","R","180","29","181","1","Bus","25","0.34","59","Other activities/sports","635","595","436","705","0","694",
"UK","North West","M","15","R","175","27","171","1","Car","7","0.32","65","Football/Soccer","727","630","621","890","0","24",
"UK","North West","F","14","R","175","24","166","2","Car","11","0.34","33","Hockey (Field)","779","817","360","711","0","0",
"UK","Home Counties","F","12","R","163","22","160","2","Bus","10","0","35","Swimming","620","837","846","638","642","644",
"UK","East Midlands","M","12","R","162","25","160","1","Car","7","0.62","42","Swimming","951","899","774","834","497","738",
"UK","Home Counties","F","12","R","152","21","148","1","Bus","30","0.32","54","Athletics","360","416","438","595","812","843",
"UK","Home Counties","F","13","R","162","24","160","2","Car","30","0","36","Dancing","588","736","810","915","1000","1000",
"UK","North East","M","13","R","146","25","146","1","Walk","10","0.29","32","Football/Soccer","866","935","1000","852","0","0",
"UK","North West","F","14","R","169","22","121","3","Bus","15","0.56","27","Hockey (Field)","1000","738","803","872","500","494",
"UK","South","M","11","R","154","22","150","3","Bus","15","1.07","56","Cycling","688","855","701","773","307","546",
"UK","East Midlands","F","13","R","173","25","174","2","Walk","10","0","79","Football/Soccer","845","713","591","365","0","66",
